target_month,region,prefecture,store_code,store_name,channel,category,target_orders,target_sales_amount,target_gross_profit,target_new_customers,planning_basis
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,EC,FoodPackaging,446,3976083,1109811,27,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,RetailStore,FoodPackaging,296,6073996,1820182,45,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,Wholesale,FoodPackaging,225,5523535,1033133,47,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,CorporateSales,FoodPackaging,359,8430817,1397399,46,StrategicCampaign
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,EC,OfficeSupplies,219,7935251,1503286,33,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,RetailStore,OfficeSupplies,127,7313920,2159181,13,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,Wholesale,OfficeSupplies,387,5263500,988155,29,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,CorporateSales,OfficeSupplies,333,5069669,1062086,24,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,EC,StoreFixtures,363,5392906,957661,10,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,RetailStore,StoreFixtures,315,6961499,1887533,43,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,Wholesale,StoreFixtures,350,4598888,915008,23,StrategicCampaign
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,CorporateSales,StoreFixtures,207,5380224,1411037,49,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,EC,NetworkDevices,263,8404239,2452691,9,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,RetailStore,NetworkDevices,225,3307565,914370,21,SalesPlan
